Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,ano
John Abraham,OLB,South Carolina,6-4,252,4.55,,,,,,2000
Shaun Alexander,RB,Alabama,6-0,218,4.58,,,,,,2000
Darnell Alford,OT,Boston Col.,6-4,334,5.56,25,23,94,8.48,4.98,2000
Kyle Allamon,TE,Texas Tech,6-2,253,4.97,29,,104,7.29,4.49,2000
Rashard Anderson,CB,Jackson State,6-2,206,4.55,34,,123,7.18,4.15,2000
Jake Arians,K,Ala-Birmingham,5-10,202,,,,,,,2000
LaVar Arrington,OLB,Penn State,6-3,250,4.53,,,,,,2000
Corey Atkins,OLB,South Carolina,6-0,237,4.72,31,21,112,7.96,4.39,2000
Kyle Atteberry,K,Baylor,6-0,167,,,,,,,2000
Reggie Austin,CB,Wake Forest,5-9,175,4.44,35,17,119,7.03,4.14,2000
John Baker,P,North Texas,6-3,227,,,,,,,2000
Mark Baniewicz,OT,Syracuse,6-6,312,5.34,28,20,96,7.72,4.73,2000
Rashidi Barnes,S,Colorado,6-0,208,4.62,35,10,114,6.92,4.32,2000
David Barrett,CB,Arkansas,5-10,199,4.44,37.5,16,116,6.81,4.04,2000
William Bartee,CB,Oklahoma,6-1,192,4.43,38.5,,124,6.7,3.99,2000
Andrew Bayes,P,East Carolina,6-2,200,,,,,,,2000
Terrance Beadles,OG,Ark-Pine Bluff,6-3,312,5.19,,29,,,,2000
Robert Bean,CB,Mississippi State,5-11,178,4.5,34.5,,122,6.87,4.2,2000
Anthony Becht,TE,West Virginia,6-6,270,4.78,33.5,,123,6.94,4.08,2000
Matt Beck,ILB,California,6-3,234,4.65,,,,,,2000
Rogers Beckett,S,Marshall,6-1,207,4.62,39.5,15,119,6.48,4.29,2000
Brad Bedell,OG,Colorado,6-4,302,5.07,31.5,17,103,7.76,4.58,2000
Marcus Bell,ILB,Arizona,6-2,237,4.78,31.5,21,111,7.17,4.33,2000
Gary Berry,S,Ohio State,5-11,204,4.55,,,,,,2000
Michael Boireau,DE,Miami (FL),6-4,274,5.09,29,26,105,7.68,4.49,2000
Matt Bowen,S,Iowa,6-1,201,4.49,33,12,115,7.06,4.09,2000
Carl Bradley,DT,Virginia Tech,6-2,300,5.03,,,,,,2000
Tom Brady,QB,Michigan,6-4,211,5.28,24.5,,99,7.2,4.38,2000
Robert Brannon,DT,Iowa State,6-4,309,5.19,28.5,28,99,7.82,4.7,2000
Keith Brown,RB,UCLA,5-11,216,4.66,30,,117,6.64,4.08,2000
Demario Brown,RB,Utah State,6-0,217,4.72,31,,107,7.17,4.39,2000
Courtney Brown,DE,Penn State,6-5,269,4.78,,,,,,2000
Mike Brown,S,Nebraska,5-10,204,4.59,36,14,116,6.93,4.01,2000
Ralph Brown,CB,Nebraska,5-10,185,4.55,,10,,,,2000
Travis Brown,QB,Northern Arizona,6-3,218,5.01,29,,101,7.54,4.87,2000
Lamont Bryant,DE,Notre Dame,6-3,260,4.91,,17,,,,2000
Marc Bulger,QB,West Virginia,6-2,208,4.97,,,100,7.46,4.34,2000
Keith Bulluck,OLB,Syracuse,6-3,244,4.47,38,,119,7.33,4.13,2000
Bill Burke,QB,Michigan State,6-4,206,5.03,28.5,,107,7.46,4.42,2000
Plaxico Burress,WR,Michigan State,6-5,231,4.59,33,,115,,,2000
David Byrd,CB,Syracuse,5-11,202,4.53,36,14,117,7.18,4.39,2000
Trung Canidate,RB,Arizona,5-11,193,4.41,,18,,,,2000
Cooper Carlisle,OG,Florida,6-5,297,5.16,31,28,100,7.82,4.48,2000
Giovanni Carmazzi,QB,Hofstra,6-3,224,4.74,36.5,,119,6.94,4.23,2000
Leonardo Carson,DE,Auburn,6-1,283,5.06,28,22,106,7.82,4.75,2000
Tyrone Carter,S,Minnesota,5-8,190,4.5,41,16,121,6.75,4.19,2000
Kwame Cavil,WR,Texas,6-2,208,4.54,39.5,,118,,,2000
Chris Chaloupka,QB,SMU,6-2,216,4.96,,,,,,2000
Doug Chapman,RB,Marshall,5-10,215,4.56,38.5,16,128,6.84,4.2,2000
Ike Charlton,CB,Virginia Tech,5-11,205,4.47,,16,126,,,2000
Chrys Chukwuma,RB,Arkansas,6-1,232,4.56,,,115,,,2000
Joey Chustz,OT,Louisiana Tech,6-7,304,5.08,31,28,103,7.65,4.65,2000
Pedro Cirino,S,Boston Col.,5-11,197,4.59,,,,,,2000
John Saint Clair,C,Virginia,6-5,302,5.2,,25,,,,2000
Kendrick Clancy,DT,Mississippi,6-1,283,5.25,27.5,25,108,7.98,4.65,2000
Travis Claridge,OG,USC,6-5,303,5.15,31.5,29,100,7.77,4.86,2000
Danny Clark,ILB,Illinois,6-2,245,4.75,,20,,,,2000
Chad Clifton,OT,Tennessee,6-5,334,5.05,30.5,24,102,7.58,4.73,2000
Chris Cole,WR,Texas A&M,6-0,191,4.37,37.5,,125,6.76,4.09,2000
Chris Coleman,WR,North Carolina State,6-0,211,4.61,32.5,,110,6.79,4.1,2000
Cosey Coleman,OG,Tennessee,6-4,322,5.4,28,,101,8.15,4.97,2000
Laveranues Coles,WR,Florida State,5-11,192,4.41,34,,115,6.89,4.39,2000
Chris Combs,DT,Duke,6-5,286,5.16,,22,,,,2000
Kurth Connell,OT,Washington,6-4,291,5.49,33,27,103,8.14,4.84,2000
Rameel Connor,DE,Illinois,6-3,276,5,35.5,25,121,7.65,4.45,2000
D.J. Cooper,DT,Arkansas,6-3,277,5.22,28,,108,7.41,4.49,2000
Ashley Cooper,S,Mississippi State,5-10,208,4.67,,16,117,,,2000
Renard Cox,CB,Maryland,5-11,192,4.68,38,13,111,7.1,,2000
Casey Crawford,TE,Virginia,6-6,244,4.83,,18,,,,2000
Sedrick Curry,CB,Texas A&M,6-1,197,4.44,39,,125,6.34,3.94,2000
Chris Daniels,WR,Purdue,6-3,217,4.74,33,,115,7.2,4.24,2000
Brandon Daniels,WR,Oklahoma,5-10,211,4.54,,,,,,2000
Joe Dean Davenport,TE,Arkansas,6-7,268,5.06,30,13,108,7.33,4.67,2000
Darren Davis,RB,Iowa State,5-8,189,4.81,32,13,109,7.04,4.47,2000
