Player,ano,GPos40,cp1,altura,peso,40yd
Mike Jenkins,2008,g3,23.742098459744,177.8,89.357624,4.38
Kendrick Starling,2004,g3,23.6660496632264,185.42,87.543256,4.49
Anthony Smith,2006,g3,23.8381376589818,182.88,87.996848,4.71
Zaycoven Henderson,2018,g1,-21.9442421788774,182.88,135.170416,5.16
Marcell Dareus,2011,g1,-33.0256707441111,190.5,144.695848,4.93
Jamil Soriano,2003,g1,-32.7575435491179,193.04,143.788664,5.48
Paul Williams,2007,g3,18.3834673742427,185.42,92.98636,4.45
Beau Benzschawel,2019,g1,-30.4604283961368,198.12,140.159928,5.24
E.J. Gaines,2014,g3,26.8236047949845,177.8,86.18248,4.44
Victor Abiamiri,2007,g2,-10.7467840116855,193.04,121.109064,4.8
Daryl Smith,2004,g2,5.00492365602788,187.96,106.140528,4.67
Tony Hunt,2007,g3,5.44513884677653,187.96,105.686936,4.68
Ennis Davis,2001,g1,-26.1543156878882,193.04,136.984784,5.1
Early Doucet,2008,g3,17.2349097977521,182.88,94.800728,4.59
Paul Perkins,2016,g3,18.8997313615089,177.8,94.347136,4.54
Onterio McCalebb,2013,g3,36.5083389914547,177.8,76.203456,4.34
Simeon Castille,2008,g3,23.3979224682332,182.88,88.45044,4.63
Devon Johnson,2016,g3,4.46866926604138,182.88,107.954896,4.64
Jeff Otah,2008,g1,-36.1832258758692,198.12,146.056624,5.55
Steven Johnson,2012,g2,4.02845407529273,182.88,108.408488,4.71
Brett Helms,2009,g1,-17.8862662629018,187.96,129.727312,5.39
Khiawatha Downey,2004,g1,-39.3607714103476,193.04,150.592544,5.5
Scottie Phillips,2020,g3,19.6841225437683,172.72,94.800728,4.56
Demetri Goodson,2014,g3,24.4504408454859,180.34,87.996848,4.52
Cameron Graham,2011,g2,-0.00953143796261358,190.5,110.676448,5
Kristian Fulton,2020,g3,22.5174920867359,182.88,89.357624,4.46
Alex Wesley,2019,g3,25.5989984219764,182.88,86.18248,4.45
Blake Cashman,2019,g2,4.29658127028598,185.42,107.501304,4.5
Giorgio Newberry,2016,g2,-19.2829606316652,195.58,129.27372,4.94
Allen Lazard,2018,g3,6.24952043175629,195.58,102.965384,4.55
Brandon Coleman,2014,g3,6.51764762674955,198.12,102.0582,4.56
Christian Ballard,2011,g2,-17.7902270636639,193.04,128.366536,4.75
Matt Ware,2004,g3,16.0103034247441,187.96,94.800728,4.54
Quentin McCord,2001,g3,26.3833896042359,177.8,86.636072,4.48
Shawn Williams,2013,g3,15.4740490347576,182.88,96.615096,4.46
Kevin Ogletree,2009,g3,22.9577072774845,182.88,88.904032,4.36
Mewelde Moore,2004,g3,17.8472129842562,180.34,94.800728,4.65
Rannell Hall,2015,g3,22.0772768959873,182.88,89.811216,4.6
Seth Olsen,2009,g1,-28.5274796373868,195.58,138.799152,5.23
Isaiah Simmons,2020,g2,2.01945652002522,193.04,107.954896,4.39
Syvelle Newton,2007,g3,12.6606698945103,185.42,98.883056,4.64
Josh Beekman,2007,g1,-29.7720764131152,187.96,141.974296,5.36
Mike Goodson,2009,g3,17.6751249885008,182.88,94.347136,4.43
Todd Pinkston,2000,g3,33.6189110546899,187.96,76.657048,4.45
Marcus Gilbert,2011,g1,-39.7049474018584,198.12,149.68536,5.41
Dan Buenning,2005,g1,-34.0781891213638,193.04,145.14944,5.35
Mike Montgomery,2005,g2,-15.3210239149274,195.58,125.191392,5.05
Nate Gerry,2017,g3,12.0483667080062,187.96,98.883056,4.58
Kevin Basped,2010,g2,-6.78484729494771,193.04,117.026736,4.75
Marcus Hudson,2006,g3,23.2258344724778,185.42,87.996848,4.55
Cedric James,2001,g3,18.2113793784873,187.96,92.532768,4.49
Vincent Gray,2022,g3,23.4939616674711,187.96,87.089664,4.54
D.J. Parker,2008,g3,25.3308712269832,180.34,87.089664,4.59
Garret Dooley,2018,g2,-1.7703922009572,190.5,112.490816,4.8
Kion Wilson,2010,g2,4.02845407529273,182.88,108.408488,4.87
Arman Shields,2008,g3,23.2258344724778,185.42,87.996848,4.37
Austin Allen,2022,g2,-7.03298408722064,203.2,114.758776,4.83
Zach Fulton,2014,g1,-32.9296315448733,195.58,143.335072,5.16
Ben Burr-Kirven,2019,g2,7.99039079203056,182.88,104.32616,4.56
Chris Baker,2002,g2,-6.17254410844367,190.5,117.026736,4.81
Roscoe Parrish,2005,g3,36.5083389914547,177.8,76.203456,4.37
Louis Murphy,2009,g3,18.6515945692359,187.96,92.079176,4.32
Wade Smith,2003,g1,-23.5130245433963,193.04,134.263232,5.14
Walter Young,2003,g3,11.9723179114887,195.58,97.068688,4.54
Rashard Higgins,2016,g3,22.3454040909805,185.42,88.904032,4.64
Rashard Anderson,2000,g3,17.33094899699,187.96,93.439952,4.55
Jelani Woods,2022,g2,-9.06197204520848,200.66,117.480328,4.61
Mike Kudla,2006,g2,-8.64174725718017,187.96,120.20188,4.72
Coby Bryant,2022,g3,23.6660496632264,185.42,87.543256,4.54
J.J. Nelson,2015,g3,41.7909212804385,177.8,70.760352,4.28
Dominique Stevenson,2002,g2,7.55017560128191,182.88,104.779752,4.53
Geno Hayes,2008,g2,9.1389483685211,185.42,102.511792,4.64
Bear Pascoe,2009,g2,-4.31564414621123,195.58,113.851592,4.89
Khaseem Greene,2013,g2,2.5357205072914,185.42,109.315672,4.71
Ethan Howell,2000,g3,27.9721623714751,180.34,84.368112,4.56
Jeremy LeSueur,2004,g3,22.5174920867359,182.88,89.357624,4.53
Corey Lemonier,2013,g2,-4.85189853619773,190.5,115.66596,4.6
Wyatt Ray,2019,g2,-5.73232891769503,190.5,116.573144,4.83
Gerrick McPhearson,2006,g3,24.1823136504926,177.8,88.904032,4.42
Kapri Bibbs,2014,g3,17.7511737850183,175.26,96.161504,4.67
Hassan Ridgeway,2016,g1,-25.9822276921328,190.5,137.438376,5.02
Marlon Brown,2013,g3,13.0248362887414,193.04,96.615096,4.63
Ben Tate,2010,g3,13.0048458860211,180.34,99.79024,4.34
Darrell Henderson,2019,g3,20.1243377345169,172.72,94.347136,4.49
Tatum Bell,2004,g3,16.5265674120102,180.34,96.161504,4.37
Alex Cappa,2018,g1,-28.6995676331422,198.12,138.34556,5.39
Quinn Christensen,2004,g1,-31.7810739683827,198.12,141.520704,5.1
Arthur Jones,2010,g1,-25.1017973106355,190.5,136.531192,5.04
Ahmad Childress,2004,g1,-48.9494664075799,198.12,159.210792,5.28
Mac Tuiaea,2000,g1,-24.7376309164044,198.12,134.263232,5.09
Joey Chustz,2000,g1,-28.8716556288976,200.66,137.891968,5.08
Leonard Myers,2001,g3,26.8236047949845,177.8,86.18248,4.65
Max Garcia,2015,g1,-29.2358220231287,193.04,140.159928,5.24
Coty Sensabaugh,2012,g3,26.6515167992291,180.34,85.728888,4.33
Cary Harris,2009,g3,27.5319471807264,180.34,84.821704,4.66
Marshay Green,2010,g3,31.838059888975,175.26,81.64656,4.52
Justin Hickman,2007,g2,-3.18707697244101,185.42,115.212368,4.75
Kevin Garrett,2003,g3,25.675047218494,175.26,87.996848,4.32
Kirk Morrison,2005,g2,5.17701165178327,185.42,106.59412,4.75
DeAngelo Peterson,2012,g2,0.430683752786034,190.5,110.222856,4.69
Ken Ekanem,2017,g2,-5.73232891769503,190.5,116.573144,4.88
Justin Harrell,2007,g1,-25.2738853063909,193.04,136.0776,5.04
Nick Bosa,2019,g2,-10.3065688209369,193.04,120.655472,4.79
Kerry Hyder,2014,g1,-19.6471270258963,187.96,131.54168,5.1
Todd Wade,2000,g1,-39.1686930118719,203.2,147.870992,5.22
Jalil Brown,2011,g3,18.8236825649913,185.42,92.532768,4.52
Ben Ijalana,2011,g1,-32.7575435491179,193.04,143.788664,5.2
Christian Tupou,2012,g1,-19.2069118351477,187.96,131.088088,5.38
Josh Bullocks,2005,g3,17.2349097977521,182.88,94.800728,4.46
Macho Harris,2009,g3,22.6895800824913,180.34,89.811216,4.46
Chase Edmonds,2018,g3,20.8326801202588,175.26,92.98636,4.55
Mason Foster,2011,g2,0.774859744296816,185.42,111.13004,4.75
Matt Spanos,2008,g1,-33.3698467356219,195.58,143.788664,5.47
Rasul Douglas,2017,g3,16.0103034247441,187.96,94.800728,4.59
Brooks Foster,2009,g3,16.3544794162549,182.88,95.707912,4.44
Gerri Green,2019,g2,-4.14355615045583,193.04,114.305184,4.63
James Quick,2017,g3,27.359859184971,182.88,84.368112,4.6
Devon Cajuste,2016,g3,3.78031728301981,193.04,106.140528,4.62
Telvin Smith,2014,g2,11.4360635215022,190.5,98.883056,4.52
Ali Marpet,2015,g1,-28.3553916416314,193.04,139.252744,4.98
Tim Massaquoi,2006,g2,-6.61275929919232,190.5,117.480328,4.85
Ejuan Price,2017,g2,3.76032688029949,180.34,109.315672,4.84
Luke Tenuta,2022,g1,-36.0871866766313,203.2,144.695848,5.41
Jason Avant,2006,g3,15.9142642255062,182.88,96.161504,4.62
Andre Williams,2014,g3,8.60269397853459,180.34,104.32616,4.56
AJ Derby,2015,g2,-5.46420172270177,193.04,115.66596,4.72
Stephen Hill,2012,g3,12.1444059072441,193.04,97.52228,4.36
Jordan Willis,2017,g2,-5.46420172270177,193.04,115.66596,4.53
Rob Gronkowski,2010,g2,-10.6507448124477,198.12,119.748288,4.68
Chaz Williams,2007,g3,23.5700104639886,180.34,88.904032,4.68
Shawn Oakman,2016,g2,-22.0003005726746,203.2,130.180904,4.96
Melvin Gordon,2015,g3,13.9813154667562,185.42,97.52228,4.52
Ryquell Armstead,2019,g3,13.0048458860211,180.34,99.79024,4.45
James Morris,2014,g2,2.5357205072914,185.42,109.315672,4.8
Fabian Moreau,2017,g3,18.5555553699981,182.88,93.439952,4.35
Dillon Mitchell,2019,g3,21.9051889002319,185.42,89.357624,4.46
Jurrell Casey,2011,g1,-23.4369757468788,185.42,136.0776,5.04
Jonathan Williams,2016,g3,13.0048458860211,180.34,99.79024,4.56
Jason Verrett,2014,g3,27.8761231722372,175.26,85.728888,4.38
Chris Miller,2020,g3,26.2113016084805,180.34,86.18248,4.61
Justice Hill,2019,g3,23.3018832689953,177.8,89.811216,4.4
Jack Williams,2008,g3,29.1967687444831,175.26,84.368112,4.43
Charles Cross,2022,g1,-28.9676948281355,195.58,139.252744,4.95
Shawn Loiseau,2012,g2,1.82737812154951,182.88,110.676448,4.74
Nate Clements,2001,g3,17.8472129842562,180.34,94.800728,4.38
Reggie White,2001,g3,8.87082117352785,182.88,103.418976,4.58
Siran Neal,2018,g3,21.6370617052386,182.88,90.264808,4.56
A.J. Hawk,2006,g2,-0.545785827949126,185.42,112.490816,4.59
Bo Smith,2007,g3,25.5029592227386,177.8,87.543256,4.44
Marc Anthony,2013,g3,23.5700104639886,180.34,88.904032,4.63
Letroy Guion,2008,g1,-25.9822276921328,190.5,137.438376,5.31
DeAndre Wright,2009,g3,22.6895800824913,180.34,89.811216,4.52
Shawn Crable,2008,g2,-1.67435300171934,195.58,111.13004,4.61
J.R. Tavai,2015,g2,-1.59830420520181,187.96,112.944408,4.91
Roderick Green,2004,g2,0.162556557792777,187.96,111.13004,4.7
Abraham Wright,2007,g2,1.48320213003872,187.96,109.769264,4.9
Raynoch Thompson,2000,g2,10.5556331400049,190.5,99.79024,4.65
Antwaan Randle El,2002,g3,26.3833896042359,177.8,86.636072,4.49
Taveze Calhoun,2016,g3,24.7185680404791,182.88,87.089664,4.58
Tank Johnson,2004,g1,-26.4224428828814,190.5,137.891968,4.69
Leonard Floyd,2016,g2,-1.84644099747473,198.12,110.676448,4.6
Chris Bell,2010,g3,15.1298730432468,187.96,95.707912,4.5
Devin Bush,2019,g2,6.84183321554,180.34,106.140528,4.43
Justin Fargas,2003,g3,12.2204547037616,185.42,99.336648,4.35
Tye Smith,2015,g3,23.3979224682332,182.88,88.45044,4.6
Cameron Artis-Payne,2015,g3,17.1388705985143,177.8,96.161504,4.53
Dion Dawkins,2017,g1,-31.4368979768719,193.04,142.427888,5.11
Craig Steltz,2008,g3,14.8617458482535,185.42,96.615096,4.63
Sean Guthrie,2002,g2,-11.6272143931828,193.04,122.016248,4.88
Markus Steele,2001,g2,5.27305085102114,190.5,105.233344,4.62
Sheldon Richardson,2013,g1,-21.4079877888909,187.96,133.356048,5.02
David Arkin,2011,g1,-25.8861884928949,195.58,136.0776,5.31
Jermaine Waller,2022,g3,30.0011503294629,182.88,81.64656,4.68
Tevin Carter,2016,g3,12.6606698945103,185.42,98.883056,4.48
Jose Valdez,2009,g1,-31.8771131676206,193.04,142.88148,5.16
