Player,ano,GPosBJ,cp1,altura,peso,Broad Jump
Ladi Ajiboye,2011,g9,-22.1163301746328,185.42,134.716824,231.14
Darrell Hunter,2006,g7,18.5555553699981,182.88,93.439952,312.42
Terrell Thomas,2008,g7,20.3164161329927,182.88,91.625584,312.42
David Fluellen,2014,g8,11.2439851230265,180.34,101.604608,304.8
Jamaal Brimmer,2005,g7,13.5411002760076,185.42,97.975872,287.02
Kurtis Gregory,2010,g9,-27.4749612601341,193.04,138.34556,231.14
John Atkins,2018,g9,-34.5184043121124,193.04,145.603032,226.06
Chris Clemons,2009,g7,17.6751249885008,182.88,94.347136,322.58
Matt Henshaw,2006,g8,-2.38269538746124,193.04,112.490816,281.94
Kevin Ogletree,2009,g7,22.9577072774845,182.88,88.904032,309.88
Josh Redding,2001,g9,-32.7575435491179,193.04,143.788664,246.38
Andre Roberts,2010,g7,24.0102256547372,180.34,88.45044,304.8
Darrian Beavers,2022,g7,2.45967171077387,193.04,107.501304,317.5
Jehu Chesson,2017,g7,17.5990761919832,190.5,92.532768,335.28
Jerome Murphy,2010,g7,22.9577072774845,182.88,88.904032,322.58
Michael Pittman,2020,g7,8.62268438125492,193.04,101.151016,307.34
Mario Fannin,2011,g8,8.77478197428998,177.8,104.779752,292.1
Preston Smith,2015,g8,-13.1199479611842,195.58,122.923432,307.34
Dwayne Allen,2012,g8,-4.85189853619773,190.5,115.66596,279.4
Frank Omiyale,2005,g9,-29.6760372138773,193.04,140.61352,256.54
Keishawn Bierria,2018,g8,6.76578441902247,187.96,104.32616,297.18
Jeremy Hill,2014,g8,6.05744203328057,185.42,105.686936,287.02
Tristan Wirfs,2020,g9,-34.6904923078679,195.58,145.14944,307.34
Pita Taumoepenu,2017,g8,1.65529012579411,185.42,110.222856,284.48
Carl Bradford,2014,g8,-1.42621620944642,185.42,113.398,309.88
Calvin Lowry,2006,g7,21.809149700994,180.34,90.7184,304.8
Alonzo Cunningham,2002,g9,-32.3173283583692,193.04,143.335072,248.92
Taylor Moton,2017,g9,-34.2502771171192,195.58,144.695848,276.86
Malik Jackson,2012,g8,-18.8427454409166,195.58,128.820128,266.7
Copeland Bryan,2006,g8,-4.58377134120448,193.04,114.758776,297.18
Darrell Henderson,2019,g8,20.1243377345169,172.72,94.347136,307.34
Jamaar Jarrett,2012,g8,-10.4786568166923,195.58,120.20188,289.56
Donald Washington,2009,g7,22.5174920867359,182.88,89.357624,342.9
Anthony Felder,2009,g8,5.44513884677653,187.96,105.686936,294.64
Martez Wilson,2011,g8,-3.26312576895853,193.04,113.398,314.96
Austin Wheatley,2000,g8,-5.02398653195312,193.04,115.212368,307.34
Matt Hazel,2014,g7,21.4649737094832,185.42,89.811216,299.72
Brad Smith,2006,g7,14.2494426617495,187.96,96.615096,325.12
Mike Jones,2007,g9,-29.8481252096328,195.58,140.159928,248.92
Scott Solomon,2012,g8,-7.93340487143826,190.5,118.841104,314.96
Mike Hart,2008,g8,20.3924649295102,175.26,93.439952,279.4
Jason Ball,2002,g9,-24.4894941241315,187.96,136.531192,238.76
Mason Foster,2011,g8,0.774859744296816,185.42,111.13004,279.4
Earl Wolff,2013,g7,17.8472129842562,180.34,94.800728,340.36
Mark Ingram,2011,g8,16.4305282127724,175.26,97.52228,299.72
Ade Aruna,2018,g8,-9.77031443095038,198.12,118.841104,325.12
Josh Scobey,2002,g8,13.8852762675184,180.34,98.883056,314.96
Turk McBride,2007,g9,-13.9243295461639,187.96,125.644984,274.32
Duke Ihenacho,2012,g7,15.4740490347576,182.88,96.615096,309.88
Michael Boley,2005,g8,3.51219008802655,190.5,107.047712,287.02
Ronald Fields,2005,g9,-29.7720764131152,187.96,141.974296,259.08
Tanner Muse,2020,g7,8.08642999126841,187.96,102.965384,314.96
Reggie Austin,2000,g7,34.0391358427183,175.26,79.3786,302.26
Sam Williams,2022,g8,-8.10549286719365,193.04,118.387512,312.42
Steve Justice,2008,g9,-21.5800757846463,190.5,132.902456,248.92
Trey Pipkins,2019,g9,-30.4604283961368,198.12,140.159928,289.56
Bobby Wade,2003,g7,25.5029592227386,177.8,87.543256,292.1
Thomas Welch,2010,g9,-29.5799980146395,198.12,139.252744,266.7
Jeremy Jones,2012,g7,24.354401646248,175.26,89.357624,294.64
Wendell Smallwood,2016,g8,18.8997313615089,177.8,94.347136,304.8
Alvin McKinley,2000,g9,-20.4315182081558,193.04,131.088088,259.08
Devin Aromashodu,2006,g7,19.5320249507332,187.96,91.171992,304.8
Kendrick Bourne,2017,g7,19.26389775574,185.42,92.079176,317.5
Marcus Monk,2008,g7,9.06289957200357,193.04,100.697424,302.26
Cam Robinson,2017,g9,-36.1832258758692,198.12,146.056624,269.24
Logan Bruss,2022,g9,-29.8481252096328,195.58,140.159928,284.48
Eric Murray,2016,g7,22.2493648917426,180.34,90.264808,314.96
Rod Sweeting,2013,g7,26.6515167992291,180.34,85.728888,314.96
Matt Grootegoed,2005,g7,13.8852762675184,180.34,98.883056,281.94
Matt Jones,2005,g8,-0.96601061597744,198.12,109.769264,327.66
Tanner Hawkinson,2013,g9,-25.0057581113976,195.58,135.170416,284.48
Marcus Johnson,2005,g9,-35.7430106851205,198.12,145.603032,264.16
Corey Crume,2001,g8,10.8037699322778,180.34,102.0582,292.1
Ashley Cooper,2000,g7,18.8997313615089,177.8,94.347136,297.18
Little John Flowers,2002,g8,15.6461370305129,180.34,97.068688,279.4
Rashan Gary,2019,g8,-15.148935919172,193.04,125.644984,304.8
Jason Fanaika,2016,g8,-11.283038401672,187.96,122.923432,287.02
Emmanuel Acho,2012,g8,3.24406289303329,187.96,107.954896,299.72
Gavin Escobar,2013,g8,-6.24859290496121,198.12,115.212368,289.56
Cameron Morrah,2009,g8,-0.00953143796261358,190.5,110.676448,292.1
T.J. Hollowell,2004,g8,5.78931483828732,182.88,106.59412,297.18
Ryan Kalil,2007,g9,-24.2213669291382,190.5,135.624008,264.16
Deon Bush,2016,g7,21.6370617052386,182.88,90.264808,312.42
Mo Miller,2009,g9,-36.5473922701003,190.5,148.324584,246.38
Keke Coutee,2018,g7,30.7855415117223,177.8,82.100152,287.02
Rick DeMulling,2001,g9,-28.3553916416314,193.04,139.252744,274.32
Will Clarke,2014,g8,-13.7322511476882,198.12,122.923432,284.48
Jarvis Landry,2014,g7,19.6080737472508,180.34,92.98636,279.4
Willie Henry,2016,g9,-25.9822276921328,190.5,137.438376,279.4
Eric Smith,2006,g7,16.6226066112481,185.42,94.800728,322.58
Mike Adams,2012,g9,-37.2357442531219,200.66,146.510216,254
Ryan Groy,2014,g9,-32.9296315448733,195.58,143.335072,274.32
Jeremy Kerley,2011,g7,27.8761231722372,175.26,85.728888,304.8
Colby Whitlock,2011,g9,-24.9297093148801,187.96,136.984784,266.7
Cale Garrett,2020,g7,5.00492365602788,187.96,106.140528,314.96
Byron Pringle,2018,g7,19.26389775574,185.42,92.079176,304.8
Jordan Miller,2019,g7,26.747555998467,185.42,84.368112,317.5
Jameel McClain,2008,g8,-0.986001018697773,185.42,112.944408,279.4
Isaiah Thomas,2022,g8,-10.9188720074409,195.58,120.655472,297.18
C.J. Ah You,2007,g8,-13.8282903469261,193.04,124.284208,274.32
Marquez Valdes-Scantling,2018,g7,16.1063426239819,193.04,93.439952,314.96
Jonathan Crawford,2019,g7,18.3834673742427,185.42,92.98636,292.1
MyCole Pruitt,2015,g8,-2.47873458669911,187.96,113.851592,299.72
Michael Ford,2013,g8,18.6316041665156,175.26,95.25432,330.2
Jimmy Graham,2010,g8,-8.88988404945309,198.12,117.93392,304.8
Austin Allen,2022,g8,-7.03298408722064,203.2,114.758776,307.34
Gerri Green,2019,g8,-4.14355615045583,193.04,114.305184,289.56
Kerryon Johnson,2018,g8,16.0863522212616,180.34,96.615096,320.04
Kony Ealy,2014,g8,-13.3880751561774,193.04,123.830616,289.56
Keaontay Ingram,2022,g8,11.9523275087684,182.88,100.243832,309.88
Auden Tate,2018,g7,5.80930524100764,195.58,103.418976,284.48
John Moffitt,2011,g9,-33.6379739306152,193.04,144.695848,259.08
DeAndrew White,2015,g7,24.8906560362345,180.34,87.543256,299.72
Steve Neal,2001,g7,24.9866952354724,185.42,86.18248,302.26
Larry Ned,2002,g8,13.4450610767697,180.34,99.336648,304.8
Tavares Gooden,2008,g8,5.61722684253192,185.42,106.140528,299.72
Bruce Campbell,2010,g9,-32.66150434988,198.12,142.427888,256.54
Kenny Lawler,2016,g7,18.6515945692359,187.96,92.079176,281.94
Adam Ulatoski,2010,g9,-25.8861884928949,195.58,136.0776,238.76
Sean Richardson,2012,g7,12.9287970895035,187.96,97.975872,325.12
Cole Pemberton,2010,g9,-33.7140227271327,200.66,142.88148,243.84
Donovan Wilson,2019,g7,21.6370617052386,182.88,90.264808,322.58
Michael Roos,2005,g9,-35.9150986808759,200.66,145.14944,246.38
Shay Hodge,2010,g7,16.6226066112481,185.42,94.800728,297.18
Jarrod Cooper,2001,g7,11.5121123180197,182.88,100.697424,330.2
Jeremy Bridges,2003,g9,-25.7141004971395,193.04,136.531192,243.84
Antonio Gibson,2020,g7,8.87082117352785,182.88,103.418976,299.72
Isaac West,2005,g7,26.9196439942224,182.88,84.821704,314.96
Antoine Winfield Jr.,2020,g7,21.7131105017561,175.26,92.079176,314.96
Donald Stephenson,2012,g9,-31.1687707818787,195.58,141.520704,289.56
Ronnie Ghent,2004,g8,-1.15808901445316,187.96,112.490816,261.62
Dexter Williams,2019,g8,16.5265674120102,180.34,96.161504,330.2
Connor Williams,2018,g9,-24.1253277299003,195.58,134.263232,284.48
Ryan Kerrigan,2011,g8,-10.7467840116855,193.04,121.109064,309.88
Justin Fargas,2003,g8,12.2204547037616,185.42,99.336648,347.98
Stephon Kelly,2002,g7,14.0773546659941,190.5,96.161504,297.18
Nate Hairston,2017,g7,22.9577072774845,182.88,88.904032,299.72
Kapri Bibbs,2014,g8,17.7511737850183,175.26,96.161504,269.24
Kenneth Walker,2022,g8,18.191388975767,175.26,95.707912,309.88
Stephen Guidry,2020,g7,18.9197217642292,190.5,91.171992,317.5
Isaiah Pead,2012,g8,23.742098459744,177.8,89.357624,294.64
Essang Bassey,2020,g7,26.9956927907399,175.26,86.636072,325.12
Boo Williams,2001,g8,2.45967171077387,193.04,107.501304,302.26
Philip Blake,2012,g9,-29.503949218122,190.5,141.067112,266.7
Jovon Bouknight,2006,g7,22.7856192817292,185.42,88.45044,304.8
Cortez Allen,2011,g7,21.9051889002319,185.42,89.357624,327.66
Michael Johnson,2009,g8,-12.143478380449,200.66,120.655472,325.12
Quintez Cephus,2020,g7,19.7041129464886,185.42,91.625584,314.96
Jeff King,2006,g8,-1.67435300171934,195.58,111.13004,276.86
Harrison Hand,2020,g7,23.1297952732399,180.34,89.357624,337.82
Cordel Iwuagwu,2020,g9,-28.6235188366247,190.5,140.159928,238.76
Charles Bennett,2006,g8,-6.78484729494771,193.04,117.026736,292.1
Jason Worilds,2010,g8,-3.18707697244101,185.42,115.212368,289.56
Daryl Williams,2015,g9,-37.7719986431084,195.58,148.324584,246.38
Slade Bolden,2022,g7,24.8906560362345,180.34,87.543256,294.64
Derrick Lott,2015,g9,-31.4368979768719,193.04,142.427888,269.24
Andrus Peat,2015,g9,-32.8335923456354,200.66,141.974296,266.7
Calvin Armstrong,2005,g9,-38.1161746346192,200.66,147.4174,254
Jonathan Wade,2007,g7,24.6225288412413,177.8,88.45044,320.04
LaVar Glover,2002,g7,33.158705461221,175.26,80.285784,297.18
Malcolm Roach,2020,g8,-22.7286333611369,187.96,134.716824,289.56
Justin Rogers,2011,g7,31.225756702471,177.8,81.64656,289.56
Jordan Devey,2013,g9,-34.59445310863,200.66,143.788664,248.92
Jordan Davis,2022,g9,-44.5473145000935,198.12,154.674872,312.42
Tyler Marz,2016,g9,-34.1542379178813,200.66,143.335072,251.46
Charleston Rambo,2022,g7,30.7094927152048,185.42,80.285784,299.72
Benny LeMay,2020,g8,14.4015402547845,172.72,100.243832,284.48
James Whitley,2001,g7,25.5029592227386,177.8,87.543256,299.72
Anthony Schlegel,2006,g8,-0.813913022942375,182.88,113.398,281.94
Bryant McNeal,2003,g8,-2.38269538746124,193.04,112.490816,297.18
Tre Williams,2022,g8,-4.58377134120448,193.04,114.758776,264.16
