Player,ano,GPosBench,cp1,altura,peso,Bench
K.J. Wright,2011,g5,-0.889961819459908,190.5,111.583632,20
Justin Harrell,2007,g4,-25.2738853063909,193.04,136.0776,24
Jarius Wynn,2009,g5,-13.6562023511707,190.5,124.7378,19
Senquez Golson,2015,g6,33.5989206519696,175.26,79.832192,15
Stanley Wilson,2005,g6,27.8000743757197,182.88,83.91452,14
Dwayne Harris,2011,g6,21.1008073152521,177.8,92.079176,10
Jonathan Crawford,2019,g6,18.3834673742427,185.42,92.98636,16
Dorin Dickerson,2010,g5,9.1389483685211,185.42,102.511792,24
Dustin Fry,2007,g4,-30.8245947903679,190.5,142.427888,34
Emmanuel Sanders,2010,g6,27.9721623714751,180.34,84.368112,12
Kevin Barry,2002,g4,-36.279265075107,193.04,147.4174,24
Aldrick Robinson,2011,g6,29.4648959394764,177.8,83.460928,17
Minkah Fitzpatrick,2018,g6,20.1443281372373,185.42,91.171992,14
O.J. Murdock,2011,g6,23.742098459744,177.8,89.357624,15
Coby Fleener,2012,g5,-3.16708656972068,198.12,112.037224,27
Daryl Worley,2016,g6,18.8236825649913,185.42,92.532768,14
Montee Ball,2013,g6,16.258440217017,177.8,97.068688,15
Gerrick McPhearson,2006,g6,24.1823136504926,177.8,88.904032,18
Nate Davis,2019,g4,-31.7050251718652,190.5,143.335072,23
D.J. Humphries,2015,g4,-28.9676948281355,195.58,139.252744,26
Jeff Allison,2019,g5,9.48312436003189,180.34,103.418976,12
David Cobb,2015,g6,9.04290916928324,180.34,103.872568,17
Adam Koets,2007,g4,-25.0057581113976,195.58,135.170416,20
Qasim Mitchell,2002,g4,-41.2937201690975,195.58,151.95332,22
Tegray Scales,2018,g5,7.99039079203056,182.88,104.32616,27
Datone Jones,2013,g5,-17.7902270636639,193.04,128.366536,29
Antwan Barnes,2007,g5,2.97593569804005,185.42,108.86208,31
Colton McKivitz,2020,g4,-29.1397828238908,198.12,138.799152,20
Brandon Kaufman,2013,g6,11.0918875299914,195.58,97.975872,9
Jason Worilds,2010,g5,-3.18707697244101,185.42,115.212368,24
Garrett Graham,2010,g5,0.430683752786034,190.5,110.222856,20
Oday Aboushi,2013,g4,-29.4079100188841,195.58,139.706336,17
Derrick Chambers,2001,g4,-24.8336701156422,193.04,135.624008,32
