Player,Pos,School,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,ano,altura,peso,GPos40,GPosBench,GPosBJ,GPos3CONE,cp1
John Abraham,OLB,South Carolina,4.55,,,,,,2000,193.04,114.305184,g2,g5,g8,g11,-4.14355615045583
Shaun Alexander,RB,Alabama,4.58,,,,,,2000,182.88,98.883056,g3,g6,g8,g11,13.2729730810143
Darnell Alford,OT,Boston Col.,5.56,63.5,23,238.76,8.48,4.98,2000,193.04,151.499728,g1,g4,g9,g10,-40.2412017918449
Kyle Allamon,TE,Texas Tech,4.97,73.66,,264.16,7.29,4.49,2000,187.96,114.758776,g2,g5,g8,g11,-3.3591649681964
Rashard Anderson,CB,Jackson State,4.55,86.36,,312.42,7.18,4.15,2000,187.96,93.439952,g3,g6,g7,g12,17.33094899699
LaVar Arrington,OLB,Penn State,4.53,,,,,,2000,190.5,113.398,g2,g5,g8,g11,-2.6508225824545
Corey Atkins,OLB,South Carolina,4.72,78.74,21,284.48,7.96,4.39,2000,182.88,107.501304,g2,g5,g8,g11,4.90888445679002
Reggie Austin,CB,Wake Forest,4.44,88.9,17,302.26,7.03,4.14,2000,175.26,79.3786,g3,g6,g7,g12,34.0391358427183
Mark Baniewicz,OT,Syracuse,5.34,71.12,20,243.84,7.72,4.73,2000,198.12,141.520704,g1,g4,g9,g10,-31.7810739683827
Rashidi Barnes,S,Colorado,4.62,88.9,10,289.56,6.92,4.32,2000,182.88,94.347136,g3,g6,g7,g12,17.6751249885008
David Barrett,CB,Arkansas,4.44,95.25,16,294.64,6.81,4.04,2000,177.8,90.264808,g3,g6,g7,g12,22.8616680782467
William Bartee,CB,Oklahoma,4.43,97.79,,314.96,6.7,3.99,2000,185.42,87.089664,g3,g6,g7,g12,24.1062648539751
Terrance Beadles,OG,Ark-Pine Bluff,5.19,,29,,,,2000,190.5,141.520704,g1,g4,g9,g10,-29.9441644088706
Robert Bean,CB,Mississippi State,4.5,87.63,,309.88,6.87,4.2,2000,180.34,80.739376,g3,g6,g7,g12,31.4938838974642
Anthony Becht,TE,West Virginia,4.78,85.09,,312.42,6.94,4.08,2000,198.12,122.46984,g2,g5,g8,g11,-13.2920359569396
Matt Beck,ILB,California,4.65,,,,,,2000,190.5,106.140528,g2,g5,g8,g11,4.39262046952384
Rogers Beckett,S,Marshall,4.62,100.33,15,302.26,6.48,4.29,2000,185.42,93.893544,g3,g6,g7,g12,17.5030369927454
Brad Bedell,OG,Colorado,5.07,80.01,17,261.62,7.76,4.58,2000,193.04,136.984784,g1,g4,g9,g10,-26.1543156878882
Marcus Bell,ILB,Arizona,4.78,80.01,21,281.94,7.17,4.33,2000,187.96,107.501304,g2,g5,g8,g11,3.68427808378194
Gary Berry,S,Ohio State,4.55,,,,,,2000,180.34,92.532768,g3,g6,g7,g12,20.0482889379994
Michael Boireau,DE,Miami (FL),5.09,73.66,26,266.7,7.68,4.49,2000,193.04,124.284208,g2,g5,g8,g11,-13.8282903469261
Matt Bowen,S,Iowa,4.49,83.82,12,292.1,7.06,4.09,2000,185.42,91.171992,g3,g6,g7,g12,20.1443281372373
Carl Bradley,DT,Virginia Tech,5.03,,,,,,2000,187.96,136.0776,g1,g4,g9,g10,-24.0492789333828
Robert Brannon,DT,Iowa State,5.19,72.39,28,251.46,7.82,4.7,2000,193.04,140.159928,g1,g4,g9,g10,-29.2358220231287
Keith Brown,RB,UCLA,4.66,76.2,,297.18,6.64,4.08,2000,180.34,97.975872,g3,g6,g8,g11,14.7657066490157
Demario Brown,RB,Utah State,4.72,78.74,,271.78,7.17,4.39,2000,182.88,98.429464,g3,g6,g8,g11,13.713188271763
Courtney Brown,DE,Penn State,4.78,,,,,,2000,195.58,122.016248,g2,g5,g8,g11,-12.2395175796869
Mike Brown,S,Nebraska,4.59,91.44,14,294.64,6.93,4.01,2000,177.8,92.532768,g3,g6,g7,g12,20.6605921245034
Ralph Brown,CB,Nebraska,4.55,,10,,,,2000,177.8,83.91452,g3,g6,g7,g12,29.0246807487277
Lamont Bryant,DE,Notre Dame,4.91,,17,,,,2000,190.5,117.93392,g2,g5,g8,g11,-7.05297448994097
